name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Joel Embiid,PHI,C,29,39,39,33.6,34.7,11.0,2.4,8.6,5.6,1.2,1.7,3.8,11.5,21.8,.529,1.4,3.6,.388,10.2,11.6,.883
Luka Dončić,DAL,PG,24,70,70,37.5,33.9,9.2,0.8,8.4,9.8,1.4,0.5,4.0,11.5,23.6,.487,4.1,10.6,.382,6.8,8.7,.786
Giannis Antetokounmpo,MIL,PF,29,73,73,35.2,30.4,11.5,2.7,8.8,6.5,1.2,1.1,3.4,11.5,18.8,.611,0.5,1.7,.274,7.0,10.7,.657
Shai Gilgeous-Alexander,OKC,PG,25,75,75,34.0,30.1,5.5,0.9,4.7,6.2,2.0,0.9,2.2,10.6,19.8,.535,1.3,3.6,.353,7.6,8.7,.874
Jalen Brunson,NYK,PG,27,77,77,35.4,28.7,3.6,0.6,3.1,6.7,0.9,0.2,2.4,10.3,21.4,.479,2.7,6.8,.401,5.5,6.5,.847
Devin Booker,PHO,PG,27,68,68,36.0,27.1,4.5,0.8,3.7,6.9,0.9,0.4,2.6,9.4,19.2,.492,2.2,6.1,.364,6.0,6.7,.886
Kevin Durant,PHO,PF,35,75,75,37.2,27.1,6.6,0.5,6.1,5.0,0.9,1.2,3.3,10.0,19.1,.523,2.2,5.4,.413,4.8,5.6,.856
Jayson Tatum,BOS,PF,25,74,74,35.7,26.9,8.1,0.9,7.2,4.9,1.0,0.6,2.5,9.1,19.3,.471,3.1,8.2,.376,5.6,6.7,.833
De'Aaron Fox,SAC,PG,26,74,74,35.9,26.6,4.6,0.9,3.7,5.6,2.0,0.4,2.6,9.7,20.9,.465,2.9,7.8,.369,4.2,5.7,.738
Donovan Mitchell,CLE,SG,27,55,55,35.3,26.6,5.1,0.8,4.3,6.1,1.8,0.5,2.8,9.1,19.8,.462,3.3,9.0,.368,5.0,5.8,.865
Stephen Curry,GSW,PG,35,74,74,32.7,26.4,4.5,0.5,4.0,5.1,0.7,0.4,2.8,8.8,19.5,.450,4.8,11.8,.408,4.0,4.4,.923
Nikola Jokić,DEN,C,28,79,79,34.6,26.4,12.4,2.8,9.5,9.0,1.4,0.9,3.0,10.4,17.9,.583,1.1,2.9,.359,4.5,5.5,.817
Anthony Edwards,MIN,SG,22,79,78,35.1,25.9,5.4,0.7,4.8,5.1,1.3,0.5,3.1,9.1,19.7,.461,2.4,6.7,.357,5.4,6.4,.836
Tyrese Maxey,PHI,PG,23,70,70,37.5,25.9,3.7,0.5,3.2,6.2,1.0,0.5,1.7,9.1,20.3,.450,3.0,8.1,.373,4.7,5.4,.868
LeBron James,LAL,PF,39,71,71,35.3,25.7,7.3,0.9,6.4,8.3,1.3,0.5,3.5,9.6,17.9,.540,2.1,5.1,.410,4.3,5.7,.750
Trae Young,ATL,PG,25,54,54,36.0,25.7,2.8,0.4,2.3,10.8,1.3,0.2,4.4,8.0,18.7,.430,3.2,8.7,.373,6.4,7.5,.855
Kyrie Irving,DAL,SG,31,58,58,35.0,25.6,5.0,0.8,4.2,5.2,1.3,0.5,1.8,9.7,19.5,.497,3.0,7.3,.411,3.3,3.6,.905
Ja Morant,MEM,PG,24,9,9,35.3,25.1,5.6,0.7,4.9,8.1,0.8,0.6,3.0,8.9,18.9,.471,1.6,5.7,.275,5.8,7.1,.813
Anthony Davis,LAL,C,30,76,76,35.5,24.7,12.6,3.1,9.5,3.5,1.2,2.3,2.1,9.4,16.9,.556,0.4,1.4,.271,5.5,6.8,.816
Damian Lillard,MIL,PG,33,73,73,35.3,24.3,4.4,0.5,3.9,7.0,1.0,0.2,2.6,7.4,17.5,.424,3.0,8.5,.354,6.5,7.0,.920
DeMar DeRozan,CHI,SF,34,79,79,37.8,24.0,4.3,0.5,3.8,5.3,1.1,0.6,1.7,8.2,17.2,.480,0.9,2.8,.333,6.6,7.7,.853
Julius Randle,NYK,PF,29,46,46,35.4,24.0,9.2,2.2,7.0,5.0,0.5,0.3,3.5,8.6,18.2,.472,1.7,5.3,.311,5.1,6.6,.781
LaMelo Ball,CHO,PG,22,22,22,32.3,23.9,5.1,1.3,3.8,8.0,1.8,0.2,3.8,8.3,19.2,.433,3.2,9.0,.355,4.1,4.7,.865
Desmond Bane,MEM,SG,25,42,42,34.4,23.7,4.4,0.9,3.5,5.5,1.0,0.5,2.7,8.6,18.5,.464,3.3,8.6,.381,3.3,3.8,.870
Kawhi Leonard,LAC,SF,32,68,68,34.3,23.7,6.1,1.2,4.9,3.6,1.6,0.9,1.8,9.0,17.1,.525,2.1,4.9,.417,3.7,4.2,.885
Lauri Markkanen,UTA,PF,26,55,55,33.1,23.2,8.2,2.2,5.9,2.0,0.9,0.5,1.4,7.8,16.2,.480,3.2,8.0,.399,4.5,5.0,.899
