name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Donovan Mitchell,CLE,SG,28,71,71,31.4,24.0,4.5,0.8,3.7,5.0,1.3,0.2,2.1,8.2,18.6,0.443,3.3,8.9,0.368,4.2,5.1,0.823
Donte DiVincenzo,MIN,SG,28,62,10,25.9,11.7,3.7,0.5,3.2,3.6,1.2,0.3,1.6,4.0,9.6,0.422,2.8,7.1,0.397,0.8,1.0,0.778
Dorian Finney-Smith,2TM,PF,31,63,40,28.9,8.7,3.9,1.3,2.7,1.4,0.9,0.4,0.9,3.1,6.9,0.448,2.0,5.0,0.411,0.5,0.7,0.667
Doug McDermott,SAC,SF,33,42,3,8.1,3.5,0.5,0.1,0.5,0.2,0.1,0.0,0.1,1.2,2.8,0.427,1.0,2.4,0.436,0.1,0.1,0.6
Draymond Green,GSW,PF,34,68,66,29.2,9.0,6.1,1.1,5.0,5.6,1.5,1.0,2.6,3.2,7.5,0.424,1.2,3.6,0.325,1.5,2.2,0.687
Drew Eubanks,2TM,C,27,61,4,12.2,4.6,3.7,1.0,2.7,0.9,0.2,0.6,0.7,1.9,3.2,0.593,0.0,0.1,0.5,0.8,1.2,0.662
Drew Peterson,BOS,PF,25,25,1,7.4,2.2,1.6,0.4,1.2,0.5,0.2,0.1,0.3,0.7,1.6,0.415,0.5,1.3,0.394,0.3,0.4,0.778
Drew Timme,BRK,PF,24,9,2,28.2,12.1,7.2,1.9,5.3,2.2,0.4,0.1,1.7,5.0,11.3,0.441,1.0,3.9,0.257,1.1,1.8,0.625
Dru Smith,MIA,SG,27,14,1,19.1,6.2,2.6,0.9,1.7,1.6,1.5,0.4,1.2,2.2,4.4,0.508,1.1,2.1,0.533,0.6,0.9,0.75
Duncan Robinson,MIA,SF,30,74,37,24.1,11.0,2.3,0.2,2.0,2.4,0.5,0.1,1.2,3.9,9.0,0.437,2.6,6.5,0.393,0.6,0.7,0.887
Duop Reath,POR,C,28,46,0,10.2,4.2,2.0,1.0,1.0,0.6,0.3,0.3,0.3,1.5,3.6,0.422,0.7,2.3,0.321,0.4,0.5,0.909
Dwight Powell,DAL,C,33,55,3,10.0,2.1,2.1,0.9,1.3,1.0,0.3,0.4,0.3,0.8,1.1,0.689,0.0,0.1,0.4,0.5,0.8,0.651
Dyson Daniels,ATL,SG,21,76,76,33.8,14.1,5.9,1.6,4.3,4.4,3.0,0.7,2.0,6.0,12.1,0.493,1.1,3.1,0.34,1.1,1.8,0.593
E.J. Liddell,CHI,PF,24,12,0,4.4,1.8,0.8,0.3,0.5,0.3,0.1,0.1,0.2,0.7,1.3,0.533,0.3,0.8,0.3,0.2,0.2,1.0
Elfrid Payton,2TM,PG,30,24,9,21.3,3.5,3.3,0.6,2.7,6.9,1.0,0.5,2.5,1.7,5.1,0.328,0.0,0.3,0.167,0.2,0.3,0.571
Elijah Harkless,UTA,SG,24,10,0,13.8,3.2,2.1,0.9,1.2,0.8,1.0,0.1,0.3,1.1,3.5,0.314,0.7,2.5,0.28,0.3,0.6,0.5
Emanuel Miller,CHI,PF,24,6,0,4.2,1.7,1.3,0.7,0.7,0.3,0.2,0.0,0.0,0.7,1.3,0.5,0.0,0.2,0.0,0.3,0.3,1.0
Emoni Bates,CLE,SF,21,10,0,7.5,3.7,0.7,0.0,0.7,0.8,0.1,0.1,0.2,1.3,3.8,0.342,1.1,3.0,0.367,0.0,0.0,
Enrique Freeman,IND,PF,24,22,1,8.2,2.1,1.4,0.5,0.9,0.4,0.1,0.1,0.3,0.7,1.7,0.432,0.0,0.5,0.1,0.6,0.9,0.684
Eric Gordon,PHI,SG,36,39,13,19.7,6.8,1.2,0.2,1.0,1.7,0.7,0.3,0.7,2.2,5.2,0.426,1.4,3.5,0.409,0.9,1.2,0.75
Evan Mobley,CLE,PF,23,71,71,30.5,18.5,9.3,2.3,7.0,3.2,0.9,1.6,2.0,7.1,12.8,0.557,1.2,3.2,0.37,3.1,4.3,0.725
Franz Wagner,ORL,SF,23,60,60,33.7,24.2,5.7,0.9,4.8,4.7,1.3,0.4,2.3,9.0,19.4,0.463,1.7,5.9,0.295,4.5,5.2,0.871
Fred VanVleet,HOU,PG,30,60,60,35.2,14.1,3.7,0.5,3.2,5.6,1.6,0.4,1.5,4.8,12.7,0.378,2.7,7.7,0.345,1.9,2.3,0.81
GG Jackson II,MEM,PF,20,29,3,15.8,7.2,3.2,0.9,2.2,1.0,0.4,0.2,1.1,2.6,6.9,0.372,1.1,3.3,0.337,1.0,1.4,0.725
Gabe Vincent,LAL,PG,28,72,11,21.2,6.4,1.3,0.3,1.0,1.4,0.7,0.2,0.6,2.3,5.8,0.4,1.5,4.3,0.353,0.2,0.3,0.714
Garrett Temple,TOR,SG,38,28,0,8.1,1.9,1.0,0.3,0.7,1.1,0.6,0.1,0.4,0.6,2.1,0.3,0.2,1.0,0.214,0.4,0.4,0.917
Garrison Mathews,ATL,SG,28,47,2,17.7,7.5,1.9,0.3,1.6,1.3,0.6,0.3,0.7,2.2,5.5,0.397,1.8,4.6,0.39,1.4,1.7,0.821
Gary Harris,ORL,SG,30,48,3,14.8,3.0,1.3,0.4,0.9,0.6,0.5,0.3,0.4,1.1,2.8,0.383,0.8,2.1,0.356,0.1,0.3,0.583
Gary Payton II,GSW,SG,32,62,11,15.0,6.5,3.0,0.9,2.1,1.3,0.8,0.3,0.6,2.8,4.8,0.574,0.5,1.5,0.326,0.4,0.6,0.711
Gary Trent Jr.,MIL,SG,26,74,9,25.6,11.1,2.3,0.3,2.0,1.2,1.0,0.1,0.6,3.8,8.9,0.431,2.4,5.9,0.416,1.1,1.2,0.848
Georges Niang,2TM,PF,31,79,3,21.5,9.9,3.4,0.6,2.8,1.4,0.4,0.2,1.0,3.6,7.8,0.461,2.1,5.2,0.406,0.6,0.7,0.793
Giannis Antetokounmpo,MIL,PF,30,67,67,34.2,30.4,11.9,2.2,9.7,6.5,0.9,1.2,3.1,11.8,19.7,0.601,0.2,0.9,0.222,6.5,10.6,0.617
Goga Bitadze,ORL,C,25,70,42,20.4,7.2,6.6,2.4,4.2,2.0,0.7,1.4,1.0,3.0,4.8,0.611,0.0,0.4,0.107,1.2,1.9,0.639
Gradey Dick,TOR,SG,21,54,54,29.4,14.4,3.6,0.8,2.8,1.8,0.9,0.2,1.5,4.9,12.0,0.41,2.1,6.0,0.35,2.5,2.9,0.858
Grant Williams,CHO,PF,26,16,7,29.9,10.4,5.1,1.1,4.0,2.3,1.1,0.8,1.8,3.4,7.7,0.439,1.7,4.6,0.365,1.9,2.3,0.838
Grayson Allen,PHO,SG,29,64,7,24.1,10.6,3.0,0.5,2.5,2.1,0.8,0.3,1.2,3.4,7.6,0.448,2.3,5.5,0.426,1.5,1.8,0.816
Guerschon Yabusele,PHI,C,29,70,43,27.1,11.0,5.6,1.9,3.7,2.1,0.8,0.3,1.2,4.0,8.0,0.501,1.5,3.9,0.38,1.4,2.0,0.725
Gui Santos,GSW,PF,22,56,2,13.6,4.1,3.1,1.3,1.8,1.4,0.4,0.2,0.8,1.5,3.2,0.458,0.6,1.8,0.33,0.5,0.8,0.69
Harrison Barnes,SAS,PF,32,82,82,27.2,12.3,3.8,1.2,2.6,1.7,0.5,0.2,0.6,4.2,8.3,0.508,1.9,4.4,0.433,2.0,2.4,0.809
Harrison Ingram,SAS,SF,22,5,0,7.0,0.8,1.8,0.4,1.4,0.6,0.6,0.0,0.2,0.4,0.8,0.5,0.0,0.2,0.0,0.0,0.0,
Haywood Highsmith,MIA,SF,28,74,42,24.6,6.5,3.4,1.0,2.4,1.5,0.9,0.5,0.7,2.4,5.3,0.458,1.2,3.1,0.382,0.4,0.6,0.721
Herbert Jones,NOP,SF,26,20,20,32.4,10.3,3.9,1.1,2.8,3.3,1.9,0.5,1.8,3.8,8.6,0.436,1.1,3.6,0.306,1.7,2.0,0.825
Hunter Tyson,DEN,PF,24,51,2,7.8,2.6,1.5,0.5,1.0,0.4,0.2,0.1,0.3,0.9,2.4,0.375,0.5,1.5,0.311,0.4,0.5,0.75
Immanuel Quickley,TOR,PG,25,33,33,27.8,17.1,3.5,0.5,3.1,5.8,0.7,0.1,1.8,5.6,13.3,0.42,2.6,6.8,0.378,3.4,3.9,0.867
Isaac Jones,SAC,PF,24,40,0,7.6,3.4,1.4,0.6,0.9,0.3,0.1,0.3,0.4,1.4,2.1,0.651,0.1,0.2,0.375,0.6,0.9,0.639
Isaac Okoro,CLE,SG,24,55,22,19.1,6.1,2.4,0.9,1.5,1.2,0.6,0.3,0.4,2.3,4.9,0.464,1.0,2.7,0.371,0.6,0.8,0.717
Isaiah Collier,UTA,PG,20,71,46,25.9,8.7,3.3,0.5,2.9,6.3,0.9,0.2,2.9,3.3,7.8,0.422,0.6,2.4,0.249,1.5,2.2,0.682
Isaiah Crawford,SAC,SF,23,15,0,3.1,0.9,0.5,0.1,0.5,0.1,0.1,0.1,0.1,0.3,0.7,0.455,0.1,0.3,0.2,0.1,0.3,0.5
