name,team,pos,age,GP,GS,MPG,PTS,REB,OREB,DREB,AST,STL,BLK,TOV,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%
Jaylen Nowell,NOP,SG,25,8,0,21.0,8.4,2.5,0.8,1.8,2.3,0.1,0.5,1.0,3.3,9.1,0.356,1.0,3.4,0.296,0.9,1.4,0.636
Jaylen Sims,CHO,SG,26,6,0,18.7,7.0,1.0,0.5,0.5,2.0,0.5,0.2,1.3,2.0,4.7,0.429,1.0,2.5,0.4,2.0,2.5,0.8
Jaylen Wells,MEM,SG,21,79,74,25.9,10.4,3.4,1.1,2.3,1.7,0.6,0.1,0.9,3.6,8.6,0.425,1.7,5.0,0.352,1.4,1.7,0.822
Jaylin Williams,OKC,PF,22,47,9,16.7,5.9,5.6,1.0,4.6,2.6,0.5,0.6,0.7,2.1,4.7,0.439,1.3,3.3,0.399,0.5,0.6,0.767
Jaylon Tyson,CLE,SG,22,47,3,9.6,3.6,2.0,0.8,1.3,0.9,0.3,0.1,0.6,1.4,3.2,0.43,0.4,1.2,0.345,0.4,0.5,0.792
Jayson Tatum,BOS,PF,26,72,72,36.4,26.8,8.7,0.7,8.0,6.0,1.1,0.5,2.9,9.2,20.3,0.452,3.5,10.1,0.343,5.0,6.1,0.814
Jazian Gortman,DAL,PG,21,16,0,3.6,1.5,0.3,0.1,0.3,0.4,0.1,0.1,0.3,0.6,1.4,0.391,0.3,0.7,0.364,0.1,0.3,0.5
Jeff Dowtin Jr.,PHI,PG,27,41,3,15.1,7.0,1.5,0.3,1.2,1.9,0.6,0.3,0.4,2.7,5.6,0.487,0.7,1.7,0.4,0.8,1.1,0.733
Jeff Green,HOU,PF,38,32,3,12.4,5.4,1.8,0.3,1.5,0.6,0.2,0.1,0.3,1.9,3.8,0.504,0.9,2.5,0.367,0.7,0.8,0.808
Jerami Grant,POR,PF,30,47,47,32.4,14.4,3.5,0.6,2.9,2.1,0.9,1.0,1.4,4.6,12.2,0.373,2.3,6.3,0.365,3.0,3.5,0.849
Jeremiah Robinson-Earl,NOP,PF,24,66,9,18.8,6.3,4.8,1.7,3.1,1.3,0.6,0.1,0.8,2.4,5.3,0.455,0.8,2.5,0.341,0.7,0.8,0.836
Jeremy Sochan,SAS,PF,21,54,23,25.3,11.4,6.5,2.4,4.2,2.4,0.8,0.5,1.6,4.6,8.7,0.535,0.5,1.7,0.308,1.6,2.3,0.696
Jericho Sims,2TM,C,26,53,5,11.9,1.8,3.7,1.3,2.4,0.6,0.2,0.4,0.6,0.8,1.3,0.634,0.0,0.0,,0.2,0.2,0.615
Jesse Edwards,MIN,C,24,2,0,2.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,
Jett Howard,ORL,SF,21,60,0,11.7,4.5,1.2,0.3,0.8,0.7,0.2,0.2,0.6,1.6,4.4,0.374,0.9,3.1,0.296,0.3,0.4,0.696
Jevon Carter,CHI,PG,29,36,1,8.9,4.3,1.1,0.1,1.0,1.1,0.4,0.1,0.3,1.5,4.1,0.377,1.0,2.9,0.333,0.2,0.3,0.8
Jimmy Butler,2TM,SF,35,55,55,31.7,17.5,5.4,2.3,3.1,5.4,1.4,0.3,1.3,5.5,10.9,0.504,0.6,1.9,0.308,6.0,7.1,0.842
Jock Landale,HOU,C,29,42,3,11.9,4.8,3.3,1.3,1.9,0.9,0.3,0.2,0.5,1.9,3.6,0.533,0.3,0.6,0.423,0.6,1.0,0.675
Joe Ingles,MIN,SF,37,19,1,6.0,0.8,0.6,0.1,0.5,1.2,0.1,0.0,0.5,0.3,1.2,0.261,0.2,0.8,0.2,0.0,0.0,
Joel Embiid,PHI,C,30,19,19,30.2,23.8,8.2,1.9,6.3,4.5,0.7,0.9,3.3,7.4,16.6,0.444,1.2,4.1,0.299,7.8,8.9,0.882
John Collins,UTA,PF,27,40,31,30.5,19.0,8.2,2.2,6.0,2.0,1.0,1.0,2.6,7.0,13.3,0.527,1.5,3.7,0.399,3.5,4.1,0.848
John Konchar,MEM,SG,28,46,4,12.1,2.4,3.3,0.8,2.5,0.9,0.7,0.3,0.3,0.9,2.0,0.451,0.5,1.3,0.371,0.2,0.2,0.875
Johnny Davis,WAS,SG,22,34,0,7.1,2.4,1.1,0.3,0.8,0.3,0.4,0.2,0.2,0.9,2.3,0.41,0.2,0.9,0.241,0.3,0.4,0.6
Johnny Furphy,IND,SG,20,50,0,7.6,2.1,1.4,0.5,1.0,0.4,0.4,0.2,0.2,0.7,1.8,0.38,0.3,1.0,0.3,0.4,0.4,0.818
Johnny Juzang,UTA,SG,23,64,18,19.8,8.9,2.9,0.7,2.2,1.1,0.6,0.1,0.6,3.2,7.4,0.429,1.8,4.9,0.376,0.7,0.8,0.849
Jonas Valančiūnas,2TM,C,32,81,21,18.8,10.4,7.7,2.3,5.4,2.0,0.5,0.6,1.5,4.3,7.7,0.55,0.1,0.5,0.216,1.8,2.0,0.879
Jonathan Isaac,ORL,PF,27,71,1,15.4,5.4,4.4,1.7,2.7,0.6,0.9,1.1,0.5,1.9,4.6,0.414,0.5,2.1,0.258,1.0,1.5,0.682
Jonathan Kuminga,GSW,PF,22,47,10,24.3,15.3,4.6,1.2,3.4,2.2,0.8,0.4,1.5,5.5,12.1,0.454,1.0,3.2,0.305,3.3,5.0,0.668
Jonathan Mogbo,TOR,PF,23,63,18,20.4,6.2,4.9,1.7,3.2,2.3,0.9,0.5,1.1,2.5,5.7,0.438,0.3,1.1,0.243,1.0,1.3,0.732
Jordan Clarkson,UTA,SG,32,37,9,26.0,16.2,3.2,0.7,2.5,3.7,0.8,0.2,2.3,5.4,13.3,0.408,2.3,6.3,0.362,3.1,3.9,0.797
Jordan Goodwin,LAL,PG,26,29,5,18.7,5.6,3.9,1.3,2.6,1.4,1.0,0.4,0.9,2.2,5.0,0.438,0.9,2.3,0.382,0.3,0.4,0.818
Jordan Hawkins,NOP,SG,22,56,9,23.6,10.8,2.8,0.4,2.4,1.2,0.5,0.4,1.0,3.7,9.9,0.372,2.0,5.9,0.331,1.4,1.8,0.816
Jordan McLaughlin,2TM,PG,28,46,0,6.8,2.1,0.7,0.1,0.5,1.1,0.3,0.0,0.3,0.7,1.6,0.431,0.4,1.0,0.413,0.4,0.5,0.773
Jordan Miller,LAC,SF,25,37,0,11.4,4.1,1.6,0.6,0.9,0.9,0.5,0.1,0.7,1.6,3.6,0.433,0.2,1.0,0.211,0.8,0.9,0.8
Jordan Poole,WAS,SG,25,68,68,29.4,20.5,3.0,0.5,2.5,4.5,1.3,0.4,3.0,6.7,15.5,0.432,3.5,9.1,0.378,3.6,4.0,0.883
Jordan Walsh,BOS,PF,20,52,1,7.8,1.6,1.3,0.4,0.9,0.4,0.2,0.2,0.3,0.6,1.6,0.361,0.3,1.1,0.273,0.1,0.2,0.583
Jose Alvarado,NOP,PG,26,56,23,24.4,10.3,2.4,0.5,1.9,4.6,1.3,0.3,1.5,3.6,9.3,0.392,2.0,5.5,0.359,1.1,1.3,0.811
Josh Christopher,MIA,SG,23,14,0,4.9,2.0,0.6,0.0,0.6,0.6,0.4,0.2,0.4,0.8,2.2,0.355,0.1,0.8,0.182,0.3,0.4,0.667
Josh Giddey,CHI,PG,22,70,69,30.2,14.6,8.1,1.8,6.3,7.2,1.2,0.6,2.9,5.3,11.4,0.465,1.5,4.0,0.378,2.5,3.2,0.781
Josh Green,CHO,SG,24,68,67,27.8,7.4,2.5,0.8,1.7,1.6,1.1,0.2,1.0,2.6,6.2,0.428,1.4,3.6,0.391,0.7,1.1,0.681
Josh Hart,NYK,SG,29,77,77,37.6,13.6,9.6,2.1,7.5,5.9,1.5,0.4,2.1,5.2,10.0,0.525,1.1,3.3,0.333,2.1,2.7,0.776
Josh Minott,MIN,SF,22,46,0,6.0,2.6,1.0,0.3,0.8,0.4,0.3,0.3,0.2,1.0,2.0,0.489,0.3,0.9,0.326,0.4,0.4,0.895
Josh Okogie,2TM,SG,26,40,7,15.6,7.1,2.8,1.1,1.7,0.8,1.2,0.5,0.8,2.4,5.3,0.443,0.8,2.3,0.348,1.6,2.1,0.741
Josh Richardson,MIA,SG,31,8,0,18.8,4.0,1.5,0.8,0.8,1.5,1.0,0.1,1.0,1.4,4.8,0.289,0.8,2.8,0.273,0.5,0.5,1.0
Jrue Holiday,BOS,PG,34,62,62,30.6,11.1,4.3,1.2,3.0,3.9,1.1,0.4,1.2,4.1,9.2,0.443,1.7,4.9,0.353,1.1,1.2,0.909
Julian Champagnie,SAS,SF,23,82,29,23.6,9.9,3.9,0.8,3.1,1.4,0.7,0.4,0.9,3.4,8.1,0.415,2.2,5.9,0.371,1.0,1.1,0.904
Julian Phillips,CHI,SF,21,79,5,14.2,4.6,2.1,0.8,1.3,0.5,0.5,0.3,0.3,1.6,3.6,0.446,0.6,1.9,0.327,0.8,1.0,0.789
Julian Strawther,DEN,SG,22,65,4,21.3,9.0,2.2,0.3,1.9,1.3,0.6,0.2,0.9,3.2,7.5,0.432,1.4,4.1,0.349,1.1,1.4,0.822
Julius Randle,MIN,PF,30,69,69,32.3,18.7,7.1,2.1,5.0,4.7,0.7,0.2,2.8,6.6,13.6,0.485,1.6,4.6,0.344,3.9,4.9,0.806
Justin Champagnie,WAS,SF,23,62,31,21.6,8.8,5.7,1.8,3.9,1.0,1.0,0.6,0.9,3.4,6.6,0.511,1.2,3.1,0.383,0.8,1.2,0.685
Justin Edwards,PHI,SF,21,44,26,26.3,10.1,3.4,1.0,2.3,1.6,1.0,0.4,1.1,3.9,8.6,0.455,1.6,4.3,0.363,0.7,1.0,0.696
Justin Minaya,POR,SF,25,19,0,5.3,0.9,0.5,0.3,0.3,0.4,0.3,0.1,0.3,0.4,1.1,0.381,0.1,0.5,0.2,0.0,0.1,0.0
Jusuf Nurkić,2TM,C,30,51,32,20.8,8.9,7.8,1.7,6.1,2.3,0.8,0.7,1.9,3.3,6.9,0.477,0.6,2.1,0.305,1.7,2.5,0.664
KJ Martin,2TM,PF,24,43,16,21.2,6.4,2.9,0.7,2.2,1.1,0.4,0.5,0.6,2.6,4.7,0.552,0.3,1.3,0.259,0.9,1.1,0.787
KJ Simpson,CHO,PG,22,36,15,23.4,7.8,3.0,1.1,1.9,3.1,0.9,0.2,1.6,2.9,8.4,0.346,0.9,3.6,0.254,1.1,1.4,0.82
Kai Jones,2TM,C,24,40,6,11.7,5.0,3.1,1.0,2.1,0.6,0.4,0.6,0.5,2.2,2.7,0.798,0.0,0.1,0.2,0.6,0.8,0.719
Karl-Anthony Towns,NYK,C,29,72,72,35.0,24.4,12.8,2.9,9.8,3.1,1.0,0.7,2.7,8.9,16.9,0.526,2.0,4.7,0.42,4.7,5.7,0.829
Karlo Matković,NOP,PF,23,42,7,18.8,7.7,5.0,1.5,3.5,1.1,0.5,1.0,1.0,3.2,5.6,0.574,0.5,1.6,0.318,0.8,1.0,0.773
Kawhi Leonard,LAC,SF,33,37,37,31.9,21.5,5.9,0.9,5.0,3.1,1.6,0.5,1.9,8.4,16.8,0.498,2.1,5.1,0.411,2.6,3.3,0.81
Keaton Wallace,ATL,PG,25,31,5,16.2,5.4,1.6,0.2,1.4,2.6,0.9,0.3,1.1,2.1,5.2,0.401,0.9,2.6,0.329,0.4,0.4,1.0
Keegan Murray,SAC,PF,24,76,76,34.3,12.4,6.7,1.9,4.8,1.4,0.8,0.9,0.8,4.8,10.8,0.444,2.0,5.9,0.343,0.8,0.9,0.833
Keion Brooks Jr.,NOP,SF,24,14,6,23.7,10.1,4.1,0.9,3.3,0.9,0.7,0.7,0.9,3.8,7.8,0.486,1.0,3.1,0.326,1.6,2.1,0.733
Kel'el Ware,MIA,C,20,64,36,22.2,9.3,7.4,1.8,5.6,0.9,0.6,1.1,0.9,4.0,7.3,0.554,0.5,1.7,0.315,0.7,1.0,0.687
Keldon Johnson,SAS,SF,25,77,0,23.9,12.7,4.8,1.5,3.4,1.6,0.6,0.3,1.0,4.8,10.0,0.482,1.1,3.6,0.318,1.9,2.5,0.773
Kelly Olynyk,2TM,C,33,44,22,20.3,8.7,4.7,1.4,3.3,2.9,0.8,0.4,1.7,3.0,6.1,0.5,0.8,1.8,0.418,1.9,2.5,0.769
Kelly Oubre Jr.,PHI,SF,29,60,57,34.6,15.1,6.1,1.6,4.5,1.8,1.5,0.5,1.3,5.8,12.4,0.47,1.2,4.0,0.293,2.3,3.1,0.751
Kenrich Williams,OKC,PF,30,69,7,16.4,6.3,3.5,0.9,2.6,1.4,0.6,0.1,0.6,2.5,5.1,0.483,1.0,2.5,0.386,0.4,0.6,0.718
Kentavious Caldwell-Pope,ORL,SG,31,77,77,29.6,8.7,2.2,0.4,1.8,1.8,1.3,0.4,0.8,3.1,7.1,0.439,1.5,4.3,0.342,1.1,1.2,0.863
Keon Ellis,SAC,SG,25,80,28,24.4,8.3,2.7,0.8,1.9,1.5,1.5,0.8,0.9,2.8,5.8,0.489,1.7,4.0,0.433,0.9,1.1,0.849
Keon Johnson,BRK,SG,22,79,56,24.4,10.6,3.8,0.8,3.0,2.2,1.0,0.4,1.5,3.8,9.9,0.389,1.6,5.1,0.314,1.4,1.8,0.77
Keshad Johnson,MIA,SF,23,16,0,6.1,2.7,1.8,0.4,1.4,0.3,0.3,0.3,0.3,1.1,1.6,0.692,0.2,0.4,0.429,0.3,0.6,0.444
Kessler Edwards,DAL,SF,24,40,18,15.2,4.2,2.9,0.6,2.3,1.1,0.5,0.5,0.4,1.7,3.4,0.496,0.6,1.4,0.407,0.3,0.3,0.923
Kevin Durant,PHO,PF,36,62,62,36.5,26.6,6.0,0.4,5.7,4.2,0.8,1.2,3.1,9.5,18.1,0.527,2.6,6.0,0.43,4.9,5.8,0.839
Kevin Huerter,2TM,SG,26,69,31,24.3,9.9,3.0,0.4,2.5,2.3,1.0,0.3,1.0,3.7,8.8,0.425,1.9,5.7,0.338,0.5,0.7,0.714
Kevin Knox,GSW,SF,25,14,0,6.0,3.3,1.2,0.5,0.7,0.4,0.1,0.3,0.3,1.3,2.6,0.5,0.3,1.1,0.267,0.4,0.6,0.75
Kevin Love,MIA,PF,36,23,9,10.9,5.3,4.1,1.0,3.1,1.0,0.7,0.2,0.6,1.8,5.0,0.357,1.0,2.9,0.358,0.7,1.0,0.696
Kevin McCullar Jr.,NYK,SF,23,4,0,7.3,1.5,2.0,0.0,2.0,0.5,0.3,0.3,0.0,0.5,1.8,0.286,0.0,0.3,0.0,0.5,0.5,1.0
Kevin Porter Jr.,2TM,SG,24,75,4,19.8,10.3,3.7,0.6,3.1,3.4,1.1,0.2,1.8,3.9,8.7,0.449,0.7,2.4,0.311,1.7,2.3,0.769
Kevon Looney,GSW,C,28,76,6,15.0,4.5,6.1,2.4,3.6,1.6,0.6,0.5,0.5,1.9,3.7,0.514,0.0,0.1,0.4,0.7,1.3,0.566
Keyonte George,UTA,PG,21,67,35,31.5,16.8,3.8,0.4,3.4,5.6,0.7,0.1,2.7,5.4,13.7,0.391,2.6,7.6,0.343,3.5,4.3,0.818
Khris Middleton,2TM,SF,33,37,21,22.8,11.9,3.7,0.4,3.4,4.1,0.9,0.2,1.5,4.3,9.1,0.475,1.3,3.6,0.361,1.9,2.3,0.857
Killian Hayes,BRK,PG,23,6,5,27.0,9.0,3.0,0.8,2.2,5.2,0.7,0.7,1.5,3.0,7.2,0.419,1.3,3.5,0.381,1.7,2.0,0.833
Klay Thompson,DAL,SF,34,72,72,27.3,14.0,3.4,0.6,2.8,2.0,0.7,0.4,1.2,5.0,12.2,0.412,3.0,7.7,0.391,0.9,1.0,0.905
Kobe Brown,LAC,PF,25,40,0,6.8,1.9,1.6,0.5,1.2,0.6,0.2,0.1,0.3,0.8,1.8,0.458,0.2,0.7,0.231,0.1,0.2,0.714
Kobe Bufkin,ATL,SG,21,10,0,12.4,5.3,2.1,0.5,1.6,1.7,0.3,0.2,0.8,1.8,4.7,0.383,0.4,1.9,0.211,1.3,1.8,0.722
Kris Dunn,LAC,PG,30,74,58,24.1,6.4,3.4,0.7,2.7,2.8,1.7,0.4,1.0,2.6,5.9,0.439,1.0,3.0,0.335,0.2,0.3,0.682
Kris Murray,POR,SF,24,69,6,15.1,4.2,2.6,1.1,1.5,1.0,0.5,0.2,0.6,1.7,4.0,0.419,0.4,1.7,0.225,0.4,0.8,0.456
Kristaps Porziņģis,BOS,C,29,42,42,28.8,19.5,6.8,1.6,5.1,2.1,0.7,1.5,1.3,6.6,13.7,0.483,2.5,6.0,0.412,3.8,4.7,0.809
Kyle Anderson,2TM,PF,31,61,4,16.4,5.9,3.4,0.9,2.5,2.4,0.7,0.5,0.6,2.3,5.0,0.469,0.4,1.1,0.357,0.8,1.1,0.738
Kyle Filipowski,UTA,C,21,72,27,21.1,9.6,6.1,1.6,4.6,1.9,0.7,0.3,1.4,3.6,7.2,0.502,1.1,3.1,0.35,1.3,2.0,0.65
Kyle Kuzma,2TM,PF,29,65,62,29.8,14.8,5.7,0.8,4.9,2.3,0.6,0.3,2.2,5.7,13.0,0.436,1.5,4.8,0.307,2.0,3.1,0.634
Kyle Lowry,PHI,PG,38,35,12,18.8,3.9,1.9,0.3,1.6,2.7,0.9,0.3,0.6,1.2,3.3,0.35,0.8,2.5,0.33,0.8,0.9,0.818
Kylor Kelley,2TM,C,27,11,2,11.5,3.1,3.5,1.1,2.5,0.5,0.1,0.3,0.4,1.3,2.0,0.636,0.0,0.0,,0.5,0.9,0.6
Kyrie Irving,DAL,SG,32,50,50,36.1,24.7,4.8,1.2,3.6,4.6,1.3,0.5,2.2,8.9,18.9,0.473,2.9,7.2,0.401,3.9,4.3,0.916
Kyshawn George,WAS,SG,21,68,38,26.5,8.7,4.2,0.7,3.5,2.5,1.0,0.7,1.4,3.0,8.0,0.372,1.7,5.2,0.322,1.0,1.4,0.753
LaMelo Ball,CHO,PG,23,47,47,32.0,25.2,4.9,1.0,3.9,7.4,1.1,0.3,3.6,8.6,21.3,0.405,3.8,11.2,0.339,4.1,4.9,0.843
Lamar Stevens,MEM,PF,27,17,1,9.1,4.4,2.2,0.2,2.0,0.5,0.3,0.2,0.6,1.7,3.7,0.46,0.5,1.6,0.296,0.5,0.6,0.727
Landry Shamet,NYK,SG,27,50,0,15.2,5.7,1.2,0.2,1.0,0.5,0.5,0.0,0.4,2.1,4.6,0.461,1.2,3.1,0.397,0.2,0.4,0.667
Larry Nance Jr.,ATL,PF,32,24,3,19.3,8.5,4.3,1.0,3.3,1.6,0.8,0.5,0.7,3.3,6.5,0.516,1.4,3.2,0.447,0.4,0.5,0.692
Lauri Markkanen,UTA,PF,27,47,47,31.4,19.0,5.9,1.5,4.4,1.5,0.7,0.4,1.4,6.3,14.9,0.423,2.9,8.5,0.346,3.4,3.9,0.876
LeBron James,LAL,SF,40,70,70,34.9,24.4,7.8,1.0,6.8,8.2,1.0,0.6,3.7,9.3,18.1,0.513,2.1,5.7,0.376,3.7,4.7,0.782
League Average,,,,,,,,,,,,,,,,,0.467,,,0.36,,,0.78
Leonard Miller,MIN,SF,21,13,0,2.5,1.5,0.8,0.2,0.6,0.0,0.2,0.1,0.2,0.5,1.2,0.4,0.0,0.4,0.0,0.6,0.6,1.0
Lester Quiñones,2TM,SG,24,13,0,14.1,6.6,1.5,0.3,1.2,1.8,0.2,0.2,1.1,2.4,6.0,0.397,1.0,3.4,0.295,0.8,1.0,0.846
Liam Robbins,MIL,C,25,13,0,4.4,0.7,0.9,0.5,0.4,0.2,0.2,0.2,0.5,0.2,0.6,0.25,0.0,0.2,0.0,0.4,0.8,0.5
Lindy Waters III,2TM,SG,27,52,9,15.0,4.9,2.1,0.4,1.7,1.0,0.5,0.2,0.4,1.8,4.8,0.369,1.2,3.6,0.344,0.2,0.2,0.727
Lonnie Walker IV,PHI,SG,26,20,7,23.9,12.4,3.2,0.3,2.9,2.5,0.5,0.3,1.3,4.5,10.6,0.42,2.3,6.4,0.354,1.2,1.5,0.8
Lonzo Ball,CHI,PG,27,35,14,22.2,7.6,3.4,0.7,2.7,3.3,1.3,0.5,1.2,2.5,6.9,0.366,1.9,5.6,0.344,0.6,0.8,0.815
Luguentz Dort,OKC,SF,25,71,71,29.2,10.1,4.1,1.3,2.9,1.6,1.1,0.5,0.7,3.6,8.4,0.435,2.4,5.8,0.412,0.5,0.6,0.717
Luka Dončić,2TM,PG,25,50,50,35.4,28.2,8.2,0.8,7.4,7.7,1.8,0.4,3.6,9.2,20.5,0.45,3.5,9.6,0.368,6.2,7.9,0.782
Luka Garza,MIN,C,26,39,0,5.6,3.5,1.4,0.8,0.6,0.3,0.2,0.1,0.3,1.3,2.7,0.495,0.3,0.9,0.278,0.6,0.9,0.686
Luke Kennard,MEM,SG,28,65,11,22.6,8.9,2.8,0.6,2.2,3.3,0.8,0.1,1.1,3.2,6.6,0.478,1.7,4.0,0.433,0.8,0.9,0.895
Luke Kornet,BOS,C,29,73,16,18.6,6.0,5.3,2.6,2.7,1.6,0.5,1.0,0.4,2.6,3.8,0.668,0.0,0.0,0.0,0.9,1.3,0.691
Luke Travers,CLE,SG,23,12,0,7.3,1.0,1.7,0.7,1.0,0.7,0.1,0.1,0.7,0.4,1.7,0.25,0.0,0.8,0.0,0.2,0.2,1.0
Mac McClung,ORL,SG,26,2,0,5.0,0.0,0.5,0.0,0.5,1.5,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,
Malachi Flynn,CHO,PG,26,4,0,11.0,4.0,1.8,0.8,1.0,1.8,0.8,0.0,1.0,1.3,3.3,0.385,0.3,1.0,0.25,1.3,1.5,0.833
Malaki Branham,SAS,SG,21,47,0,9.1,5.0,1.1,0.1,0.9,0.8,0.2,0.0,0.7,1.9,4.0,0.458,0.7,1.8,0.405,0.6,0.7,0.818
Malcolm Brogdon,WAS,PG,32,24,13,23.5,12.7,3.8,0.9,2.9,4.1,0.5,0.2,1.6,4.3,10.0,0.433,0.7,2.3,0.286,3.4,3.8,0.88
Malevy Leons,OKC,SF,25,6,0,3.5,0.3,0.5,0.2,0.3,0.2,0.0,0.0,0.2,0.0,0.3,0.0,0.0,0.2,0.0,0.3,0.7,0.5
Malik Beasley,DET,SG,28,82,18,27.8,16.3,2.6,0.6,2.0,1.7,0.9,0.1,1.0,5.6,13.1,0.43,3.9,9.3,0.416,1.2,1.7,0.679
Malik Monk,SAC,SG,26,65,45,31.6,17.2,3.8,0.5,3.3,5.6,0.9,0.6,2.4,6.3,14.4,0.439,2.1,6.6,0.325,2.4,2.7,0.865
MarJon Beauchamp,3TM,SF,24,35,0,4.5,2.3,1.3,0.3,0.9,0.3,0.1,0.0,0.4,0.8,1.9,0.415,0.3,0.8,0.345,0.4,0.6,0.75
Marcus Bagley,PHI,SF,23,10,4,25.3,6.7,7.0,2.3,4.7,1.0,0.9,1.2,0.7,2.7,6.9,0.391,0.5,3.2,0.156,0.8,1.0,0.8
Marcus Garrett,CHO,SG,26,4,0,19.8,7.0,1.5,0.3,1.3,3.3,0.8,0.5,1.5,2.8,6.8,0.407,0.8,2.0,0.375,0.8,1.0,0.75
Marcus Sasser,DET,PG,24,57,1,14.2,6.6,1.2,0.3,0.9,2.3,0.6,0.1,0.9,2.4,5.2,0.463,1.0,2.7,0.382,0.8,0.9,0.843
Marcus Smart,2TM,PG,30,34,7,20.0,9.0,2.1,0.5,1.6,3.2,1.1,0.3,1.6,3.0,7.6,0.393,1.4,4.1,0.348,1.6,2.1,0.761
Mark Williams,CHO,C,23,44,41,26.6,15.3,10.2,3.0,7.2,2.5,0.7,1.2,1.6,6.1,10.2,0.604,0.0,0.1,0.0,3.0,3.7,0.804
Markelle Fultz,SAC,PG,26,21,0,8.8,2.9,1.0,0.3,0.7,1.3,0.5,0.1,0.7,1.3,3.2,0.418,0.2,0.4,0.5,0.0,0.0,1.0
Markieff Morris,2TM,PF,35,15,2,11.0,3.7,1.5,0.2,1.3,1.4,0.1,0.2,0.3,1.4,4.7,0.3,0.6,2.4,0.25,0.3,0.4,0.833
Marvin Bagley III,2TM,PF,25,31,2,8.5,4.4,2.7,1.2,1.5,0.4,0.3,0.3,0.4,1.8,3.4,0.519,0.1,0.6,0.158,0.7,1.1,0.657
Mason Jones,SAC,SG,26,10,0,4.5,2.3,0.9,0.2,0.7,1.1,0.0,0.1,0.1,0.9,1.8,0.5,0.1,0.8,0.125,0.4,0.5,0.8
Mason Plumlee,PHO,C,34,74,21,17.6,4.5,6.1,1.6,4.6,1.8,0.4,0.6,0.8,1.7,2.7,0.619,0.0,0.1,0.0,1.1,1.7,0.648
Matas Buzelis,CHI,SF,20,80,31,18.9,8.6,3.5,0.7,2.8,1.0,0.4,0.9,0.9,3.2,6.9,0.454,1.2,3.3,0.361,1.1,1.4,0.815
Matisse Thybulle,POR,SG,27,15,5,20.8,7.5,3.5,0.9,2.5,1.9,2.2,0.6,0.9,2.8,5.9,0.477,1.4,3.2,0.438,0.5,1.0,0.467
Matt Ryan,NYK,SF,27,19,0,3.6,1.5,0.4,0.0,0.4,0.2,0.1,0.0,0.2,0.5,1.6,0.323,0.3,1.0,0.316,0.1,0.1,1.0
Max Christie,2TM,SG,21,78,36,27.3,9.6,3.3,0.5,2.8,1.9,0.8,0.4,1.1,3.2,7.6,0.427,1.5,4.0,0.366,1.7,1.9,0.855
Max Strus,CLE,SF,28,50,37,25.5,9.4,4.3,1.1,3.3,3.2,0.5,0.2,1.1,3.3,7.5,0.442,2.3,5.9,0.386,0.6,0.7,0.824
Maxi Kleber,DAL,PF,33,34,4,18.7,3.0,2.8,0.7,2.1,1.3,0.3,0.5,0.7,1.1,2.8,0.385,0.4,1.4,0.265,0.5,0.6,0.762
Maxwell Lewis,2TM,SF,22,28,1,11.7,4.1,2.0,0.6,1.3,0.7,0.3,0.3,0.5,1.6,3.9,0.417,0.7,1.8,0.38,0.3,0.4,0.7
Micah Potter,UTA,C,26,38,10,18.6,4.3,4.3,1.1,3.2,0.8,0.4,0.4,0.8,1.5,3.6,0.422,0.8,2.6,0.316,0.4,0.5,0.85
Michael Porter Jr.,DEN,SF,26,77,77,33.7,18.2,7.0,1.8,5.2,2.1,0.6,0.5,1.4,6.9,13.6,0.504,2.5,6.4,0.395,1.9,2.5,0.768
Mikal Bridges,NYK,SF,28,82,82,37.0,17.6,3.2,0.9,2.3,3.7,0.9,0.5,1.6,7.2,14.4,0.5,2.0,5.6,0.354,1.2,1.4,0.814
Mike Conley,MIN,PG,37,71,64,24.7,8.2,2.6,0.5,2.1,4.5,1.1,0.2,1.1,2.6,6.6,0.4,1.8,4.4,0.41,1.1,1.3,0.9
Miles Bridges,CHO,PF,26,64,64,31.7,20.3,7.5,1.1,6.4,3.9,0.7,0.7,2.1,7.3,17.0,0.431,2.2,7.0,0.313,3.5,4.0,0.87
Miles McBride,NYK,SG,24,64,10,24.9,9.5,2.5,0.7,1.8,2.9,1.0,0.3,0.6,3.5,8.5,0.406,1.8,4.9,0.369,0.8,1.0,0.813
Miles Norris,BOS,PF,24,3,0,11.7,2.3,3.0,0.7,2.3,0.0,0.7,0.3,0.0,0.7,3.0,0.222,0.7,2.3,0.286,0.3,0.7,0.5
Mitchell Robinson,NYK,C,26,17,3,17.1,5.1,5.9,3.1,2.9,0.8,0.9,1.1,0.6,2.2,3.3,0.661,0.0,0.0,,0.8,1.1,0.684
Mo Bamba,2TM,C,26,32,2,12.9,4.3,4.5,1.0,3.5,0.6,0.3,1.0,0.6,1.6,3.5,0.464,0.5,1.7,0.278,0.6,0.8,0.704
Monte Morris,PHO,PG,29,45,0,12.7,5.2,1.5,0.3,1.2,1.6,0.4,0.1,0.5,1.8,4.3,0.426,0.7,1.9,0.36,0.8,0.9,0.857
