leaderboard,rank,player,team_or_v1,v2,v3,v4
three_point_pct,17,Jaden McDaniels,41.2,1.4,3.4,
three_point_pct,18,Duncan Robinson,41.0,2.9,7.0,
three_point_pct,19,Ja'Kobe Walter,40.9,1.5,3.7,
three_point_pct,20,Svi Mykhailiuk,40.8,2.0,4.8,
three_point_pct,21,Bub Carrington,40.8,2.1,5.0,
three_point_pct,22,Royce O'Neale,40.8,2.7,6.7,
three_point_pct,23,Tim Hardaway Jr.,40.7,2.8,6.9,
three_point_pct,24,John Collins,40.6,1.3,3.2,
three_point_pct,25,Ryan Rollins,40.6,2.5,6.1,
free_throw_pct,1,Cam Spencer,-,94.0,,
free_throw_pct,2,Stephen Curry,GSW,92.3,,
free_throw_pct,3,Desmond Bane,ORL,90.8,,
free_throw_pct,4,Nickeil Alexander-Walker,ATL,90.2,,
free_throw_pct,5,Derrick White,BOS,90.2,,
free_throw_pct,6,LaMelo Ball,CHA,89.9,,
free_throw_pct,7,Max Christie,DAL,89.9,,
free_throw_pct,8,Lauri Markkanen,UTA,89.6,,
free_throw_pct,9,Brandon Miller,CHA,89.2,,
free_throw_pct,10,Tyrese Maxey,PHI,89.2,,
free_throw_pct,11,Kawhi Leonard,LAC,89.2,,
free_throw_pct,12,Keyonte George,UTA,89.2,,
free_throw_pct,13,Jamal Murray,DEN,88.7,,
free_throw_pct,14,Trey Murphy III,NOP,88.6,,
free_throw_pct,15,James Harden,-,88.4,,
free_throw_pct,16,Zach LaVine,-,88.0,,
free_throw_pct,17,Shai Gilgeous-Alexander,OKC,87.9,,
free_throw_pct,18,Kevin Porter Jr.,-,87.8,,
free_throw_pct,19,Ayo Dosunmu,CHI,87.6,,
free_throw_pct,20,Kevin Durant,HOU,87.4,,
free_throw_pct,21,Devin Booker,PHX,87.3,,
free_throw_pct,22,Austin Reaves,LAL,87.1,,
free_throw_pct,23,Ajay Mitchell,OKC,87.0,,
free_throw_pct,24,Bennedict Mathurin,IND,86.9,,
free_throw_pct,25,DeMar DeRozan,-,86.8,,
assist_turnover_ratio,1,Giannis Antetokounmpo,5.4,3.2,1.69,
assist_turnover_ratio,2,Jimmy Butler III,4.9,1.6,3.06,
assist_turnover_ratio,3,Stephen Curry,4.7,2.8,1.68,
assist_turnover_ratio,4,DeMar DeRozan,4.1,1.2,3.42,
assist_turnover_ratio,5,Kevin Durant,4.8,3.2,1.5,
assist_turnover_ratio,6,Draymond Green,5.5,2.7,2.04,
assist_turnover_ratio,7,James Harden,8.0,3.5,2.29,
assist_turnover_ratio,8,Jrue Holiday,6.1,2.8,2.18,
assist_turnover_ratio,9,LeBron James,7.2,3.0,2.4,
assist_turnover_ratio,10,Dennis Schroder,4.9,1.8,2.72,
assist_turnover_ratio,11,Russell Westbrook,6.7,3.3,2.03,
assist_turnover_ratio,12,Julius Randle,5.0,2.7,1.85,
assist_turnover_ratio,13,Jusuf Nurkic,4.8,2.5,1.92,
assist_turnover_ratio,14,Nikola Jokic,10.7,3.7,2.89,
assist_turnover_ratio,15,D'Angelo Russell,4.0,1.9,2.11,
assist_turnover_ratio,16,Devin Booker,6.0,3.1,1.94,
assist_turnover_ratio,17,T.J. McConnell,5.1,1.1,4.64,
assist_turnover_ratio,18,Jaylen Brown,5.1,3.6,1.42,
assist_turnover_ratio,19,Jamal Murray,7.1,2.3,3.09,
assist_turnover_ratio,20,Domantas Sabonis,4.1,2.7,1.52,
assist_turnover_ratio,21,Dejounte Murray,6.4,3.4,1.88,
assist_turnover_ratio,22,Jayson Tatum,5.3,2.4,2.21,
assist_turnover_ratio,23,De'Aaron Fox,6.2,2.3,2.7,
assist_turnover_ratio,24,Donovan Mitchell,5.7,2.8,2.04,
assist_turnover_ratio,25,Derrick White,5.4,1.7,3.18,
assist_turnover_supplementary,1,Cade Cunningham,9.9,3.7,2.69,
assist_turnover_supplementary,2,Josh Giddey,9.1,3.6,2.52,
assist_turnover_supplementary,3,Luka Doncic,8.3,4.0,2.08,
assist_turnover_supplementary,4,Ja Morant,8.1,3.6,2.27,
assist_turnover_supplementary,5,Tyrese Haliburton (2024-25),9.2,1.6,5.75,
assist_turnover_supplementary,6,Trae Young,,,3.08,
assist_turnover_supplementary,7,Andrew Nembhard,,,3.19,
assist_turnover_supplementary,8,Luke Kornet,,,4.5,
assist_turnover_supplementary,9,Davion Mitchell,,,4.2,
assist_turnover_supplementary,10,Immanuel Quickley,,,4.1,
assist_turnover_supplementary,11,Dean Wade,,,5.5,
assist_turnover_supplementary,12,Cam Spencer,,,4.3,
points_per_game,1,Luka Doncic,LAL,33.5,,
points_per_game,2,Shai Gilgeous-Alexander,OKC,31.1,,
points_per_game,3,Anthony Edwards,MIN,28.8,,
points_per_game,4,Jaylen Brown,BOS,28.7,,
points_per_game,5,Tyrese Maxey,PHI,28.3,,
points_per_game,6,Kawhi Leonard,LAC,27.9,,
points_per_game,7,Donovan Mitchell,CLE,27.9,,
points_per_game,8,Nikola Jokic,DEN,27.7,,
